findingId,severity,rule,seed,company,quarter,classification,confidence,observation
A06:sai-train-standard-003:MASS:T13,P1,A06_PRODUCTION_WITH_RAW_SHORTAGE,sai-train-standard-003,MASS,13,STANDARD_AI_DESIGN_WEAKNESS,0.7,"原料不足による生産機会損失 1283t。実生産 317t は計画 1603t の19.8%。"
A06:sai-train-standard-003:MASS:T14,P1,A06_PRODUCTION_WITH_RAW_SHORTAGE,sai-train-standard-003,MASS,14,STANDARD_AI_DESIGN_WEAKNESS,0.7,"原料不足による生産機会損失 147t。実生産 305t は計画 455t の67.2%。"
A06:sai-train-standard-003:MASS:T7,P1,A06_PRODUCTION_WITH_RAW_SHORTAGE,sai-train-standard-003,MASS,7,STANDARD_AI_DESIGN_WEAKNESS,0.7,"原料不足による生産機会損失 5865t。実生産 1715t は計画 7593t の22.6%。"
A06:sai-train-standard-003:MASS:T8,P1,A06_PRODUCTION_WITH_RAW_SHORTAGE,sai-train-standard-003,MASS,8,STANDARD_AI_DESIGN_WEAKNESS,0.7,"原料不足による生産機会損失 4453t。実生産 3170t は計画 7649t の41.4%。"
A06:sai-train-standard-003:MASS:T9,P1,A06_PRODUCTION_WITH_RAW_SHORTAGE,sai-train-standard-003,MASS,9,STANDARD_AI_DESIGN_WEAKNESS,0.7,"原料不足による生産機会損失 2325t。実生産 2729t は計画 5076t の53.8%。"
A06:sai-train-standard-004:BAL:T1,P1,A06_PRODUCTION_WITH_RAW_SHORTAGE,sai-train-standard-004,BAL,1,STANDARD_AI_DESIGN_WEAKNESS,0.7,"原料不足による生産機会損失 3146t。実生産 10536t は計画 13758t の76.6%。"
A06:sai-train-standard-004:MASS:T1,P1,A06_PRODUCTION_WITH_RAW_SHORTAGE,sai-train-standard-004,MASS,1,STANDARD_AI_DESIGN_WEAKNESS,0.7,"原料不足による生産機会損失 8409t。実生産 12139t は計画 20609t の58.9%。"
A06:sai-train-standard-004:MASS:T10,P1,A06_PRODUCTION_WITH_RAW_SHORTAGE,sai-train-standard-004,MASS,10,STANDARD_AI_DESIGN_WEAKNESS,0.7,"原料不足による生産機会損失 3027t。実生産 1118t は計画 4154t の26.9%。"
A06:sai-train-standard-004:MASS:T11,P1,A06_PRODUCTION_WITH_RAW_SHORTAGE,sai-train-standard-004,MASS,11,STANDARD_AI_DESIGN_WEAKNESS,0.7,"原料不足による生産機会損失 983t。実生産 760t は計画 1749t の43.4%。"
A06:sai-train-standard-004:MASS:T12,P1,A06_PRODUCTION_WITH_RAW_SHORTAGE,sai-train-standard-004,MASS,12,STANDARD_AI_DESIGN_WEAKNESS,0.7,"原料不足による生産機会損失 913t。実生産 618t は計画 1536t の40.2%。"
A06:sai-train-standard-004:MASS:T13,P1,A06_PRODUCTION_WITH_RAW_SHORTAGE,sai-train-standard-004,MASS,13,STANDARD_AI_DESIGN_WEAKNESS,0.7,"原料不足による生産機会損失 601t。実生産 260t は計画 863t の30.1%。"
A06:sai-train-standard-004:MASS:T7,P1,A06_PRODUCTION_WITH_RAW_SHORTAGE,sai-train-standard-004,MASS,7,STANDARD_AI_DESIGN_WEAKNESS,0.7,"原料不足による生産機会損失 5766t。実生産 1772t は計画 7552t の23.5%。"
A06:sai-train-standard-004:MASS:T8,P1,A06_PRODUCTION_WITH_RAW_SHORTAGE,sai-train-standard-004,MASS,8,STANDARD_AI_DESIGN_WEAKNESS,0.7,"原料不足による生産機会損失 4306t。実生産 3043t は計画 7375t の41.3%。"
A06:sai-train-standard-004:MASS:T9,P1,A06_PRODUCTION_WITH_RAW_SHORTAGE,sai-train-standard-004,MASS,9,STANDARD_AI_DESIGN_WEAKNESS,0.7,"原料不足による生産機会損失 2669t。実生産 2383t は計画 5107t の46.7%。"
A06:sai-train-standard-005:BAL:T1,P1,A06_PRODUCTION_WITH_RAW_SHORTAGE,sai-train-standard-005,BAL,1,STANDARD_AI_DESIGN_WEAKNESS,0.7,"原料不足による生産機会損失 3146t。実生産 10536t は計画 13758t の76.6%。"
A06:sai-train-standard-005:MASS:T1,P1,A06_PRODUCTION_WITH_RAW_SHORTAGE,sai-train-standard-005,MASS,1,STANDARD_AI_DESIGN_WEAKNESS,0.7,"原料不足による生産機会損失 8409t。実生産 12139t は計画 20609t の58.9%。"
A06:sai-train-standard-005:MASS:T10,P1,A06_PRODUCTION_WITH_RAW_SHORTAGE,sai-train-standard-005,MASS,10,STANDARD_AI_DESIGN_WEAKNESS,0.7,"原料不足による生産機会損失 3015t。実生産 1212t は計画 4238t の28.6%。"
A06:sai-train-standard-005:MASS:T11,P1,A06_PRODUCTION_WITH_RAW_SHORTAGE,sai-train-standard-005,MASS,11,STANDARD_AI_DESIGN_WEAKNESS,0.7,"原料不足による生産機会損失 1147t。実生産 800t は計画 1954t の41.0%。"
A06:sai-train-standard-005:MASS:T12,P1,A06_PRODUCTION_WITH_RAW_SHORTAGE,sai-train-standard-005,MASS,12,STANDARD_AI_DESIGN_WEAKNESS,0.7,"原料不足による生産機会損失 955t。実生産 630t は計画 1591t の39.6%。"
A06:sai-train-standard-005:MASS:T13,P1,A06_PRODUCTION_WITH_RAW_SHORTAGE,sai-train-standard-005,MASS,13,STANDARD_AI_DESIGN_WEAKNESS,0.7,"原料不足による生産機会損失 663t。実生産 291t は計画 956t の30.4%。"
A06:sai-train-standard-005:MASS:T7,P1,A06_PRODUCTION_WITH_RAW_SHORTAGE,sai-train-standard-005,MASS,7,STANDARD_AI_DESIGN_WEAKNESS,0.7,"原料不足による生産機会損失 5710t。実生産 1873t は計画 7598t の24.7%。"
A06:sai-train-standard-005:MASS:T8,P1,A06_PRODUCTION_WITH_RAW_SHORTAGE,sai-train-standard-005,MASS,8,STANDARD_AI_DESIGN_WEAKNESS,0.7,"原料不足による生産機会損失 4308t。実生産 3123t は計画 7458t の41.9%。"
A06:sai-train-standard-005:MASS:T9,P1,A06_PRODUCTION_WITH_RAW_SHORTAGE,sai-train-standard-005,MASS,9,STANDARD_AI_DESIGN_WEAKNESS,0.7,"原料不足による生産機会損失 2964t。実生産 2394t は計画 5382t の44.5%。"
A06:sai-train-standard-006:BAL:T1,P1,A06_PRODUCTION_WITH_RAW_SHORTAGE,sai-train-standard-006,BAL,1,STANDARD_AI_DESIGN_WEAKNESS,0.7,"原料不足による生産機会損失 3146t。実生産 10325t は計画 13758t の75.0%。"
A06:sai-train-standard-006:MASS:T1,P1,A06_PRODUCTION_WITH_RAW_SHORTAGE,sai-train-standard-006,MASS,1,STANDARD_AI_DESIGN_WEAKNESS,0.7,"原料不足による生産機会損失 8409t。実生産 12139t は計画 20609t の58.9%。"
A06:sai-train-standard-006:MASS:T10,P1,A06_PRODUCTION_WITH_RAW_SHORTAGE,sai-train-standard-006,MASS,10,STANDARD_AI_DESIGN_WEAKNESS,0.7,"原料不足による生産機会損失 3698t。実生産 1061t は計画 4768t の22.2%。"
A06:sai-train-standard-006:MASS:T11,P1,A06_PRODUCTION_WITH_RAW_SHORTAGE,sai-train-standard-006,MASS,11,STANDARD_AI_DESIGN_WEAKNESS,0.7,"原料不足による生産機会損失 966t。実生産 1017t は計画 1991t の51.1%。"
A06:sai-train-standard-006:MASS:T12,P1,A06_PRODUCTION_WITH_RAW_SHORTAGE,sai-train-standard-006,MASS,12,STANDARD_AI_DESIGN_WEAKNESS,0.7,"原料不足による生産機会損失 741t。実生産 1248t は計画 2000t の62.4%。"
A06:sai-train-standard-006:MASS:T13,P1,A06_PRODUCTION_WITH_RAW_SHORTAGE,sai-train-standard-006,MASS,13,STANDARD_AI_DESIGN_WEAKNESS,0.7,"原料不足による生産機会損失 1326t。実生産 296t は計画 1625t の18.2%。"
A06:sai-train-standard-006:MASS:T14,P1,A06_PRODUCTION_WITH_RAW_SHORTAGE,sai-train-standard-006,MASS,14,STANDARD_AI_DESIGN_WEAKNESS,0.7,"原料不足による生産機会損失 536t。実生産 297t は計画 836t の35.6%。"
A06:sai-train-standard-006:MASS:T15,P1,A06_PRODUCTION_WITH_RAW_SHORTAGE,sai-train-standard-006,MASS,15,STANDARD_AI_DESIGN_WEAKNESS,0.7,"原料不足による生産機会損失 4t。実生産 0t は計画 4t の0.0%。"
A06:sai-train-standard-006:MASS:T7,P1,A06_PRODUCTION_WITH_RAW_SHORTAGE,sai-train-standard-006,MASS,7,STANDARD_AI_DESIGN_WEAKNESS,0.7,"原料不足による生産機会損失 6051t。実生産 1520t は計画 7584t の20.0%。"
A06:sai-train-standard-006:MASS:T8,P1,A06_PRODUCTION_WITH_RAW_SHORTAGE,sai-train-standard-006,MASS,8,STANDARD_AI_DESIGN_WEAKNESS,0.7,"原料不足による生産機会損失 4224t。実生産 2885t は計画 7133t の40.4%。"
A06:sai-train-standard-006:MASS:T9,P1,A06_PRODUCTION_WITH_RAW_SHORTAGE,sai-train-standard-006,MASS,9,STANDARD_AI_DESIGN_WEAKNESS,0.7,"原料不足による生産機会損失 1912t。実生産 2670t は計画 4604t の58.0%。"
A06:sai-train-standard-007:BAL:T1,P1,A06_PRODUCTION_WITH_RAW_SHORTAGE,sai-train-standard-007,BAL,1,STANDARD_AI_DESIGN_WEAKNESS,0.7,"原料不足による生産機会損失 3146t。実生産 10536t は計画 13758t の76.6%。"
A06:sai-train-standard-007:MASS:T1,P1,A06_PRODUCTION_WITH_RAW_SHORTAGE,sai-train-standard-007,MASS,1,STANDARD_AI_DESIGN_WEAKNESS,0.7,"原料不足による生産機会損失 8409t。実生産 12139t は計画 20609t の58.9%。"
A06:sai-train-standard-007:MASS:T10,P1,A06_PRODUCTION_WITH_RAW_SHORTAGE,sai-train-standard-007,MASS,10,STANDARD_AI_DESIGN_WEAKNESS,0.7,"原料不足による生産機会損失 3239t。実生産 1243t は計画 4492t の27.7%。"
A06:sai-train-standard-007:MASS:T11,P1,A06_PRODUCTION_WITH_RAW_SHORTAGE,sai-train-standard-007,MASS,11,STANDARD_AI_DESIGN_WEAKNESS,0.7,"原料不足による生産機会損失 1160t。実生産 680t は計画 1846t の36.8%。"
A06:sai-train-standard-007:MASS:T12,P1,A06_PRODUCTION_WITH_RAW_SHORTAGE,sai-train-standard-007,MASS,12,STANDARD_AI_DESIGN_WEAKNESS,0.7,"原料不足による生産機会損失 764t。実生産 668t は計画 1437t の46.5%。"
A06:sai-train-standard-007:MASS:T13,P1,A06_PRODUCTION_WITH_RAW_SHORTAGE,sai-train-standard-007,MASS,13,STANDARD_AI_DESIGN_WEAKNESS,0.7,"原料不足による生産機会損失 599t。実生産 275t は計画 876t の31.3%。"
A06:sai-train-standard-007:MASS:T7,P1,A06_PRODUCTION_WITH_RAW_SHORTAGE,sai-train-standard-007,MASS,7,STANDARD_AI_DESIGN_WEAKNESS,0.7,"原料不足による生産機会損失 6066t。実生産 1474t は計画 7552t の19.5%。"
A06:sai-train-standard-007:MASS:T8,P1,A06_PRODUCTION_WITH_RAW_SHORTAGE,sai-train-standard-007,MASS,8,STANDARD_AI_DESIGN_WEAKNESS,0.7,"原料不足による生産機会損失 4136t。実生産 2608t は計画 6766t の38.5%。"
A06:sai-train-standard-007:MASS:T9,P1,A06_PRODUCTION_WITH_RAW_SHORTAGE,sai-train-standard-007,MASS,9,STANDARD_AI_DESIGN_WEAKNESS,0.7,"原料不足による生産機会損失 2044t。実生産 2505t は計画 4570t の54.8%。"
A06:sai-train-standard-008:BAL:T1,P1,A06_PRODUCTION_WITH_RAW_SHORTAGE,sai-train-standard-008,BAL,1,STANDARD_AI_DESIGN_WEAKNESS,0.7,"原料不足による生産機会損失 3146t。実生産 10536t は計画 13758t の76.6%。"
A06:sai-train-standard-008:MASS:T1,P1,A06_PRODUCTION_WITH_RAW_SHORTAGE,sai-train-standard-008,MASS,1,STANDARD_AI_DESIGN_WEAKNESS,0.7,"原料不足による生産機会損失 8409t。実生産 12139t は計画 20609t の58.9%。"
A06:sai-train-standard-008:MASS:T10,P1,A06_PRODUCTION_WITH_RAW_SHORTAGE,sai-train-standard-008,MASS,10,STANDARD_AI_DESIGN_WEAKNESS,0.7,"原料不足による生産機会損失 3806t。実生産 1599t は計画 5418t の29.5%。"
A06:sai-train-standard-008:MASS:T11,P1,A06_PRODUCTION_WITH_RAW_SHORTAGE,sai-train-standard-008,MASS,11,STANDARD_AI_DESIGN_WEAKNESS,0.7,"原料不足による生産機会損失 1737t。実生産 829t は計画 2573t の32.2%。"
A06:sai-train-standard-008:MASS:T12,P1,A06_PRODUCTION_WITH_RAW_SHORTAGE,sai-train-standard-008,MASS,12,STANDARD_AI_DESIGN_WEAKNESS,0.7,"原料不足による生産機会損失 655t。実生産 1005t は計画 1669t の60.2%。"
A06:sai-train-standard-008:MASS:T13,P1,A06_PRODUCTION_WITH_RAW_SHORTAGE,sai-train-standard-008,MASS,13,STANDARD_AI_DESIGN_WEAKNESS,0.7,"原料不足による生産機会損失 917t。実生産 383t は計画 1303t の29.4%。"
A06:sai-train-standard-008:MASS:T14,P1,A06_PRODUCTION_WITH_RAW_SHORTAGE,sai-train-standard-008,MASS,14,STANDARD_AI_DESIGN_WEAKNESS,0.7,"原料不足による生産機会損失 341t。実生産 248t は計画 591t の42.0%。"
A06:sai-train-standard-008:MASS:T7,P1,A06_PRODUCTION_WITH_RAW_SHORTAGE,sai-train-standard-008,MASS,7,STANDARD_AI_DESIGN_WEAKNESS,0.7,"原料不足による生産機会損失 6051t。実生産 1381t は計画 7444t の18.6%。"
A06:sai-train-standard-008:MASS:T8,P1,A06_PRODUCTION_WITH_RAW_SHORTAGE,sai-train-standard-008,MASS,8,STANDARD_AI_DESIGN_WEAKNESS,0.7,"原料不足による生産機会損失 4578t。実生産 2669t は計画 7270t の36.7%。"
A06:sai-train-standard-008:MASS:T9,P1,A06_PRODUCTION_WITH_RAW_SHORTAGE,sai-train-standard-008,MASS,9,STANDARD_AI_DESIGN_WEAKNESS,0.7,"原料不足による生産機会損失 1776t。実生産 2906t は計画 4706t の61.8%。"
A06:sai-train-standard-009:BAL:T1,P1,A06_PRODUCTION_WITH_RAW_SHORTAGE,sai-train-standard-009,BAL,1,STANDARD_AI_DESIGN_WEAKNESS,0.7,"原料不足による生産機会損失 3146t。実生産 10536t は計画 13758t の76.6%。"
A06:sai-train-standard-009:MASS:T1,P1,A06_PRODUCTION_WITH_RAW_SHORTAGE,sai-train-standard-009,MASS,1,STANDARD_AI_DESIGN_WEAKNESS,0.7,"原料不足による生産機会損失 8409t。実生産 12139t は計画 20609t の58.9%。"
A06:sai-train-standard-009:MASS:T10,P1,A06_PRODUCTION_WITH_RAW_SHORTAGE,sai-train-standard-009,MASS,10,STANDARD_AI_DESIGN_WEAKNESS,0.7,"原料不足による生産機会損失 3441t。実生産 1277t は計画 4729t の27.0%。"
A06:sai-train-standard-009:MASS:T11,P1,A06_PRODUCTION_WITH_RAW_SHORTAGE,sai-train-standard-009,MASS,11,STANDARD_AI_DESIGN_WEAKNESS,0.7,"原料不足による生産機会損失 1116t。実生産 763t は計画 1885t の40.5%。"
A06:sai-train-standard-009:MASS:T12,P1,A06_PRODUCTION_WITH_RAW_SHORTAGE,sai-train-standard-009,MASS,12,STANDARD_AI_DESIGN_WEAKNESS,0.7,"原料不足による生産機会損失 720t。実生産 846t は計画 1573t の53.8%。"
A06:sai-train-standard-009:MASS:T13,P1,A06_PRODUCTION_WITH_RAW_SHORTAGE,sai-train-standard-009,MASS,13,STANDARD_AI_DESIGN_WEAKNESS,0.7,"原料不足による生産機会損失 759t。実生産 280t は計画 1042t の26.9%。"
A06:sai-train-standard-009:MASS:T14,P1,A06_PRODUCTION_WITH_RAW_SHORTAGE,sai-train-standard-009,MASS,14,STANDARD_AI_DESIGN_WEAKNESS,0.7,"原料不足による生産機会損失 462t。実生産 234t は計画 698t の33.5%。"
A06:sai-train-standard-009:MASS:T7,P1,A06_PRODUCTION_WITH_RAW_SHORTAGE,sai-train-standard-009,MASS,7,STANDARD_AI_DESIGN_WEAKNESS,0.7,"原料不足による生産機会損失 6159t。実生産 1381t は計画 7552t の18.3%。"
A06:sai-train-standard-009:MASS:T8,P1,A06_PRODUCTION_WITH_RAW_SHORTAGE,sai-train-standard-009,MASS,8,STANDARD_AI_DESIGN_WEAKNESS,0.7,"原料不足による生産機会損失 4215t。実生産 2583t は計画 6820t の37.9%。"
A06:sai-train-standard-009:MASS:T9,P1,A06_PRODUCTION_WITH_RAW_SHORTAGE,sai-train-standard-009,MASS,9,STANDARD_AI_DESIGN_WEAKNESS,0.7,"原料不足による生産機会損失 1864t。実生産 2659t は計画 4545t の58.5%。"
A06:sai-train-standard-010:BAL:T1,P1,A06_PRODUCTION_WITH_RAW_SHORTAGE,sai-train-standard-010,BAL,1,STANDARD_AI_DESIGN_WEAKNESS,0.7,"原料不足による生産機会損失 3146t。実生産 10536t は計画 13758t の76.6%。"
A06:sai-train-standard-010:MASS:T1,P1,A06_PRODUCTION_WITH_RAW_SHORTAGE,sai-train-standard-010,MASS,1,STANDARD_AI_DESIGN_WEAKNESS,0.7,"原料不足による生産機会損失 8409t。実生産 12139t は計画 20609t の58.9%。"
A06:sai-train-standard-010:MASS:T10,P1,A06_PRODUCTION_WITH_RAW_SHORTAGE,sai-train-standard-010,MASS,10,STANDARD_AI_DESIGN_WEAKNESS,0.7,"原料不足による生産機会損失 3245t。実生産 1277t は計画 4533t の28.2%。"
A06:sai-train-standard-010:MASS:T11,P1,A06_PRODUCTION_WITH_RAW_SHORTAGE,sai-train-standard-010,MASS,11,STANDARD_AI_DESIGN_WEAKNESS,0.7,"原料不足による生産機会損失 1247t。実生産 786t は計画 2039t の38.5%。"
A06:sai-train-standard-010:MASS:T12,P1,A06_PRODUCTION_WITH_RAW_SHORTAGE,sai-train-standard-010,MASS,12,STANDARD_AI_DESIGN_WEAKNESS,0.7,"原料不足による生産機会損失 873t。実生産 688t は計画 1566t の43.9%。"
A06:sai-train-standard-010:MASS:T13,P1,A06_PRODUCTION_WITH_RAW_SHORTAGE,sai-train-standard-010,MASS,13,STANDARD_AI_DESIGN_WEAKNESS,0.7,"原料不足による生産機会損失 687t。実生産 303t は計画 993t の30.5%。"
A06:sai-train-standard-010:MASS:T14,P1,A06_PRODUCTION_WITH_RAW_SHORTAGE,sai-train-standard-010,MASS,14,STANDARD_AI_DESIGN_WEAKNESS,0.7,"原料不足による生産機会損失 96t。実生産 233t は計画 331t の70.3%。"
A06:sai-train-standard-010:MASS:T7,P1,A06_PRODUCTION_WITH_RAW_SHORTAGE,sai-train-standard-010,MASS,7,STANDARD_AI_DESIGN_WEAKNESS,0.7,"原料不足による生産機会損失 5809t。実生産 1738t は計画 7561t の23.0%。"
A06:sai-train-standard-010:MASS:T8,P1,A06_PRODUCTION_WITH_RAW_SHORTAGE,sai-train-standard-010,MASS,8,STANDARD_AI_DESIGN_WEAKNESS,0.7,"原料不足による生産機会損失 4326t。実生産 3061t は計画 7413t の41.3%。"
A06:sai-train-standard-010:MASS:T9,P1,A06_PRODUCTION_WITH_RAW_SHORTAGE,sai-train-standard-010,MASS,9,STANDARD_AI_DESIGN_WEAKNESS,0.7,"原料不足による生産機会損失 2601t。実生産 2607t は計画 5229t の49.8%。"
A07:sai-train-standard-001:MASS:T10,P1,A07_SALES_WITHOUT_DELIVERY_CAPABILITY,sai-train-standard-001,MASS,10,STANDARD_AI_DESIGN_WEAKNESS,0.75,"当期成約 6951t に対し、生産 1389t ＋ 期末在庫 0t しかない。延滞 10688t が発生。"
A07:sai-train-standard-001:MASS:T11,P1,A07_SALES_WITHOUT_DELIVERY_CAPABILITY,sai-train-standard-001,MASS,11,STANDARD_AI_DESIGN_WEAKNESS,0.75,"当期成約 6837t に対し、生産 678t ＋ 期末在庫 0t しかない。延滞 16961t が発生。"
A07:sai-train-standard-001:MASS:T12,P1,A07_SALES_WITHOUT_DELIVERY_CAPABILITY,sai-train-standard-001,MASS,12,STANDARD_AI_DESIGN_WEAKNESS,0.75,"当期成約 6836t に対し、生産 695t ＋ 期末在庫 0t しかない。延滞 23103t が発生。"
A07:sai-train-standard-001:MASS:T13,P1,A07_SALES_WITHOUT_DELIVERY_CAPABILITY,sai-train-standard-001,MASS,13,STANDARD_AI_DESIGN_WEAKNESS,0.75,"当期成約 6836t に対し、生産 308t ＋ 期末在庫 0t しかない。延滞 29631t が発生。"
A07:sai-train-standard-001:MASS:T14,P1,A07_SALES_WITHOUT_DELIVERY_CAPABILITY,sai-train-standard-001,MASS,14,STANDARD_AI_DESIGN_WEAKNESS,0.75,"当期成約 6771t に対し、生産 210t ＋ 期末在庫 0t しかない。延滞 36258t が発生。"
A07:sai-train-standard-001:MASS:T15,P1,A07_SALES_WITHOUT_DELIVERY_CAPABILITY,sai-train-standard-001,MASS,15,STANDARD_AI_DESIGN_WEAKNESS,0.75,"当期成約 6696t に対し、生産 0t ＋ 期末在庫 0t しかない。延滞 43029t が発生。"
A07:sai-train-standard-001:MASS:T16,P1,A07_SALES_WITHOUT_DELIVERY_CAPABILITY,sai-train-standard-001,MASS,16,STANDARD_AI_DESIGN_WEAKNESS,0.75,"当期成約 6696t に対し、生産 0t ＋ 期末在庫 0t しかない。延滞 49725t が発生。"
